,BT,B6,BD,R,BVarr,BVpal,BVesp
1977,1106.1,857.83,453.97,171.97,290.85,299.942,537.608
1978,1103.8,854.66,429.81,179.55,277.47,297.593,535.623
1979,1059,809.14,387.4,170.55,246.362,264.139,506.125
1980,1019.1,768.98,359.74,171.47,222.291,234.526,478.427
1981,992.87,744.72,337.71,153.75,204.491,215.982,461.614
1982,960.94,719,312.81,135.47,185.499,196.62,444.62
1983,922.53,694.55,325.2,129.82,142.745,176.158,425.79
1984,893.38,679.11,310.36,124.47,163.614,164.775,415.497
1985,870.24,671.67,302.19,134.73,150.221,159.161,409.133
1986,845.52,656.08,315.41,132.5,135.438,154.974,402.51
1987,808.72,620.4,272.18,136.5,133.125,142.681,379.909
1988,761.05,571.43,245.41,133.54,118.242,126.068,346.679
1989,706.79,514.16,201.84,126.06,95.0005,106.47,314.301
1990,668.2,476.93,205.86,132.71,79.5397,85.9862,283.625
1991,639.61,448.11,171.96,136.45,63.2456,65.357,263.513
1992,624.01,433.22,142.86,138.02,56.1342,64.2752,248.251
1993,612.51,420.08,138.54,144.69,52.7412,58.7107,238.59
1994,620.69,421.82,131,146.52,60.2988,76.518,241.734
1995,628.74,425.37,160.99,145.3,79.2286,76.2091,244.607
1996,640.66,433,155.35,153.1,73.6276,74.4115,268.214
1997,654.18,441.5,166.38,154.24,77.8202,85.6295,234.041
1998,667.52,450.73,152.1,163.28,78.1028,79.949,215.46
1999,678.47,457.47,156.29,158.56,77.5304,76.8959,226.532
2000,686.91,460.48,142.97,159.23,76.1155,72.8931,221.382
2001,691.64,463.74,159.96,151.77,82.1639,79.5825,221.834
2002,694.23,466.24,159.33,148.61,83.6726,77.2941,212.357
2003,696.3,474.15,158.05,139.88,83.8345,71.665,222.157
2004,692.04,476.49,157.09,130.45,81.182,70.195,235.054
2005,685.28,479.19,158.64,128.07,76.9997,75.2216,228.851
2006,678.56,480.85,158.91,124.55,72.1689,64.9949,212.552
2007,664.43,476.29,158.2,116.32,71.8964,66.2672,202.493
2008,646.62,466.46,157.68,114.97,72.259,68.8024,207.733
2009,627.2,453.86,157.12,101.06,71.3108,66.2363,209.877
2010,607.55,442.69,155.95,97.883,65.0624,64.4039,192.68
2011,588.33,431.51,158.59,105.81,72.54,71.1728,211.129
2012,579.13,426.98,159.25,105.56,68.1764,67.8905,205.325
2013,566.87,418.78,159.38,108.8,72.1693,67.6132,205.796
2014,557.22,406.96,164.03,108.27,71.6702,72.9658,187.434
2015,557.77,403.34,166.57,108.88,76.3774,78.5964,208.709
2016,554.49,398.54,163.06,112.9,75.6535,76.2303,201.826
2017,547.2,388.75,158.8,114.77,76.0194,78.5387,194.197
2018,544.49,384.22,150.29,115.71,71.7845,76.5283,185.178
2019,536.1,373.6,141.4,113.6,67.4266,73.6525,176.63
